Doenca,Classe
Sem,Hipertensão gestacional [induzida pela gravidez] sem proteinúria significativa
Transmitidas,Outras infecções causadas por clamídias transmitidas por via sexual
Enxertos,"Complicações de dispositivos protéticos, implantes e enxertos geniturinários internos"
Enxertos,"Complicações de dispositivos protéticos, implantes e enxertos ortopédicos internos"
Carregado,"Queda, enquanto estava sendo carregado ou apoiado por outra(s) pessoa(s)"
Água,"Efeitos adversos de substâncias que atuam primariamente sobre o metabolismo da água, dos sais minerais e do ácido úrico"
Psicodislépticos,"Envenenamento [intoxicação] por e exposição a narcóticos e a psicodislépticos [alucinógenos] não classificados em outra parte, intenção não determinada"
Drogas,"Envenenamento [intoxicação] por e exposição a outras drogas, medicamentos e substâncias biológicas e as não especificadas, intenção não determinada"
Produtos Químicos,"Envenenamento [intoxicação] por e exposição a outros produtos químicos e substâncias nocivas e aos não especificados, intenção não determinada"
Drogas,"Auto-intoxicação por e exposição, intencional, a outras drogas, medicamentos e substâncias biológicas e às não especificadas"
Narcóticos,Envenenamento [intoxicação] acidental por e exposição a narcóticos e psicodislépticos [alucinógenos] não classificados em outra parte
Psicodislépticos,"Auto-intoxicação por e exposição, intencional, a narcóticos e psicodislépticos [alucinógenos] não classificados em outra parte"
Outras,Envenenamento [intoxicação] acidental por e exposição a outras substâncias químicas nocivas e às não especificadas
Espingarda,"Lesão autoprovocada intencionalmente por disparo de espingarda, carabina, ou arma de fogo de maior calibre"
Parte,"Lesão por esmagamento e amputação traumática de parte do abdome, do dorso e da pelve"
Ouvido Médio,Neoplasia de comportamento incerto ou desconhecido do ouvido médio e dos órgãos respiratórios e intratorácicos
Apresentação Anormal,"Assistência prestada à mãe por motivo de apresentação anormal, conhecida ou suspeitada, do feto"
Antipiréticos,"Envenenamento [intoxicação] por e exposição a analgésicos, antipiréticos e anti-reumáticos não-opiáceos, intenção não determinada"
Doença,Fatores psicológicos ou comportamentais associados a doença ou a transtornos classificados em outra parte
Tecidos,"Outras neoplasias malignas e as não especificadas dos tecidos linfático, hematopoético e tecidos correlatos"
Início Durante,Outros transtornos comportamentais e emocionais com início habitualmente durante a infância ou a adolescência
Uso,"Transtornos mentais e comportamentais devidos ao uso de outros estimulantes, inclusive a cafeína"
Lesão,"Assistência prestada à mãe por anormalidade e lesão fetais, conhecidas ou suspeitadas"
Analgésicos,"Envenenamento [intoxicação] acidental por e exposição a analgésicos, antipiréticos e anti-reumáticos, não-opiáceos"
Complicações,Assistência materna por outras complicações ligadas predominantemente à gravidez
Causadas,"Reação anormal em paciente ou complicação tardia, causadas por intervenção cirúrgica e por outros atos cirúrgicos, sem menção de acidente durante a intervenção"
Substâncias,"Envenenamento [intoxicação] por e exposição a outras substâncias farmacológicas de ação sobre o sistema nervoso autônomo, intenção não determinada"
Outras,"Envenenamento [intoxicação] acidental por e exposição a outras drogas, medicamentos e substâncias biológicas não especificadas"
Transmitidas,Feto e recém-nascido afetados por influências nocivas transmitidas ao feto via placenta ou leite materno
Acidental,"Corte, punção, perfuração ou hemorragia acidentais durante a prestação de cuidados médicos ou cirúrgicos"
Maternas,"Feto e recém-nascido afetados por afecções maternas, não obrigatoriamente relacionadas com a gravidez atual"
Desconhecido,"Outras neoplasias de comportamento incerto ou desconhecido dos tecidos linfático, hematopoético e tecidos correlatos"
Conhecida,"Assistência prestada à mãe por anormalidade, conhecida ou suspeita, dos órgãos pélvicos maternos"
Membranas,"Efeitos adversos de substâncias de uso tópico que atuam primariamente sobre a pele e as membranas mucosas e drogas de uso oftalmológico, otorrinolaringológico e dentário"
Mucosas,"Intoxicação por substâncias de uso tópico que atuam primariamente sobre a pele e as mucosas e por medicamentos utilizados em oftalmologia, otorrinolaringologia e odontologia"
antiepilépticos,"Envenenamento [intoxicação] por e exposição a anticonvulsivantes [antiepilépticos], sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificados em outra parte, intenção não determinada"
Anticonvulsivantes,"Auto-intoxicação por e exposição, intencional, a drogas anticonvulsivantes [antiepilépticos] sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificados em outra parte"
Anticonvulsivantes,"Envenenamento [intoxicação] acidental por e exposição a anticonvulsivantes [antiepilépticos], sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificadas em outra parte"
Ônibus,Ocupante de um veículo de transporte pesado traumatizado em colisão com um outro veículo de transporte pesado ou um ônibus
Sem Menção de Acidente Durante Procedimento,"Reação anormal em paciente ou complicação tardia, causadas por outros procedimentos médicos, sem menção de acidente durante o procedimento"
Ônibus,Ocupante de um ônibus traumatizado em colisão com um veículo de transporte pesado ou um ônibus
Não Especificados,Motociclista traumatizado em outros acidentes de transporte e em acidentes de transporte não especificados
Não Especificados,Pedestre traumatizado em outros acidentes de transporte e em acidentes de transporte não especificados
Ônibus,Ciclista traumatizado em colisão com um veículo de transporte pesado ou um ônibus
Ônibus,Motociclista traumatizado em colisão com um veículo de transporte pesado ou um ônibus
Outra Parte,Outras infecções virais do sistema nervoso central não classificadas em outra parte
Aparelho Respiratório,Efeitos adversos de substâncias que atuam primariamente sobre os músculos lisos e esqueléticos e sobre o aparelho respiratório
Veículo Ferroviário,Ocupante de um veículo de transporte pesado traumatizado em colisão com um trem [comboio] ou um veículo ferroviário
Aparelho Respiratório,Intoxicação por substâncias que atuam primariamente sobre os músculos lisos e esqueléticos e sobre o aparelho respiratório
Órgãos Intratorácicos,Neoplasia maligna de outras localizações e de localizações mal definidas do aparelho respiratório e dos órgãos intratorácicos
ou Caminhonete,Ocupante de um veículo de transporte pesado traumatizado em colisão com um automóvel [carro] ou uma caminhonete
Não Classificadas em Outra Parte,"Outras infecções virais caracterizadas por lesões da pele e das membranas mucosas, não classificadas em outra parte"
Caminhonete,"Ocupante de um automóvel [carro] traumatizado em colisão com um automóvel [carro], ""pick up"" ou caminhonete"
Sistema Nervoso Central,"Neoplasia maligna da medula espinhal, dos nervos cranianos e de outras partes do sistema nervoso central"
Não Especificadas,Neoplasia maligna dos ossos e das cartilagens articulares de outras localizações e de localizações não especificadas
Veículo Ferroviário,Ocupante de um automóvel [carro] traumatizado em colisão com um trem [comboio] ou um veículo ferroviário
Veículo Ferroviário,Ocupante de um triciclo motorizado traumatizado em colisão com um trem [comboio] ou um veículo ferroviário
Parado,Ocupante de um veículo de transporte pesado traumatizado em colisão com um objeto fixo ou parado
Outra Parte,Transtornos do nervo óptico [segundo par] e das vias ópticas em doenças classificadas em outra parte
Maior Calibre,"Agressão por meio de disparo de espingarda, carabina ou arma de fogo de maior calibre"
Objeto em Movimento,Agressão por meio de projeção ou colocação da vítima diante de um objeto em movimento
Doenças Classificadas,Atrofias sistêmicas que afetam principalmente o sistema nervoso central em doenças classificadas em outra parte
Outra Parte,"Efeitos adversos de hormônios e seus substitutos sintéticos e antagonistas, não classificados em outra parte"
Veículo Ferroviário,Ocupante de um ônibus traumatizado em colisão com um trem [comboio] ou um veículo ferroviário
Acidente de Transporte,Ocupante de um trem [comboio] ou um veículo ferroviário traumatizado em um acidente de transporte
Vítima,"Acidente não-de-trânsito de tipo especificado, mas sendo desconhecido o modo de transporte da vítima"
Intenção Não Determinada,"Disparo de fuzil, carabina e arma de fogo de maior calibre, intenção não determinada"
Outro Tipo Construção,Exposição a fogo controlado fora de um edifício ou de outro tipo de construção
Outro Tipo Construção,Exposição a fogo não-controlado fora de um edifício ou de outro tipo de construção
Trabalho de Parto,Feto e recém-nascido afetados por outras complicações do trabalho de parto e do parto
Outra Parte,"Intoxicação por hormônios, seus substitutos sintéticos e seus antagonistas não classificados em outra parte"
Localizações,Neoplasia de comportamento incerto ou desconhecido de outras localizações e de localizações não especificadas
Aparelho Digestivo,Neoplasia maligna de outros órgãos digestivos e de localizações mal definidas no aparelho digestivo
Parado,Ocupante de um automóvel [carro] traumatizado em colisão com um objeto fixo ou parado
Caminhonete,Ocupante de um ônibus traumatizado em colisão com um automóvel [carro] ou uma caminhonete
Parado,Ocupante de um triciclo motorizado traumatizado em colisão com um objeto fixo ou parado
Caminhonete,Ocupante de uma caminhonete traumatizado em colisão com um automóvel [carro] ou uma caminhonete
Veículo Ferroviário,Ocupante de uma caminhonete traumatizado em colisão com um trem [comboio] ou veículo ferroviário
Outra Parte,Outros transtornos do ouvido médio e da mastóide em doenças classificadas em outra parte
Outra Parte,Outros transtornos do sangue e dos órgãos hematopoéticos em doenças classificadas em outra parte
Não Especificadas,"Síndromes comportamentais associados a transtornos das funções fisiológicas e a fatores físicos, não especificadas"
Outra Parte,Trabalho de parto e parto complicados por hemorragia intraparto não classificados em outra parte
Corpo,Achados anormais de exames para diagnóstico por imagem de outras estruturas do corpo
Parasitárias,"Doença pelo vírus da imunodeficiência humana [HIV], resultando em doenças infecciosas e parasitárias"
Sangue,Efeitos adversos de substâncias farmacológicas que atuam primariamente sobre os constituintes do sangue
Classificadas,Infecções diretas da articulação em doenças infecciosas e parasitárias classificadas em outra parte
Órgãos Digestivos,Neoplasia de comportamento incerto ou desconhecido da cavidade oral e dos órgãos digestivos
Sistema Nervoso Central,Neoplasia de comportamento incerto ou desconhecido do encéfalo e do sistema nervoso central
Parado,Ocupante de um ônibus traumatizado em colisão com um objeto fixo ou parado
Parado,Ocupante de uma caminhonete traumatizado em colisão com um objeto fixo ou parado
Outra Parte,Outros transtornos do rim e do ureter em doenças classificadas em outra parte
Pelve,"Outros traumatismos e os não especificados do abdome, do dorso e da pelve"
Intenção Não Determinada,"Queda, permanência ou corrida diante de um objeto em movimento, intenção não determinada"
Outras Substâncias,"Risco a respiração devido a desmoronamento, queda de terra e de outras substâncias"
Adolescência,Transtornos do funcionamento social com início especificamente durante a infância ou a adolescência
Coxa,Traumatismo de músculo e de tendão ao nível do quadril e da coxa
Pelve,"Traumatismo de vasos sangüíneos ao nível do abdome, do dorso e da pelve"
Caminhonete,"Motociclista traumatizado em colisão com um automóvel [carro], ""pick up"" ou caminhonete"
Caminhonete,"Pedestre traumatizado em colisão com um automóvel [carro], ""pick up"" ou caminhonete"
Outra Parte,Abscesso e granuloma intracranianos e intraspinais em doenças classificadas em outra parte
Tecidos,"Achados anormais de material proveniente de outros órgãos, aparelhos, sistemas e tecidos"
Outra Parte,Catarata e outros transtornos do cristalino em doenças classificadas em outra parte
Outra Parte,"Contato com elevadores e instrumentos de transmissão, não classificados em outra parte"
Pessoal,"Dispositivos (aparelhos) gerais de uso hospitalar ou pessoal, associados a incidentes adversos"
Especificadas,Doença pelo vírus da imunodeficiência humana [HIV] resultando em outras doenças especificadas
Intenção Não Determinada,"Exposição a vapor de água, gases ou objetos quentes, intenção não determinada"
Membranas Mucosas,Infecção viral não especificada caracterizada por lesões da pele e membranas mucosas
Parte,Lesão por esmagamento do tórax e amputação traumática de parte do tórax
Não Especificados,Neoplasia benigna de outros órgãos genitais femininos e de órgãos não especificados
Outra Parte,"Outras anomalias dos cromossomos sexuais, fenótipo feminino, não classificadas em outra parte"
Outra Parte,"Outras anomalias dos cromossomos sexuais, fenótipo masculino, não classificadas em outra parte"
Outra Parte,Outros transtornos do olho e anexos em doenças classificadas em outra parte
Sangue,Presença de drogas e de outras substâncias normalmente não encontradas no sangue
Traspés,"Queda no mesmo nível por escorregão, tropeção ou passos em falsos [traspés]"
Não Especificadas,Seqüelas de traumatismos envolvendo múltiplas regiões do corpo e as não especificadas
Outra Parte,"Transtornos do aparelho circulatório, subseqüentes a procedimentos não classificados em outra parte"
Pressão,"Transtornos dos tecidos moles relacionados com o uso, uso excessivo e pressão"
Mão,Traumatismo de músculo e tendão ao nível do punho e da mão
Braço,Traumatismo de tendão e músculo ao nível do ombro e do braço
pé,Traumatismos do músculo e tendão ao nível do tornozelo e do pé
Cirúrgico,Acidente não especificado durante a prestação de cuidado médico e cirúrgico
Sexualidade,"Aconselhamento relativo às atitudes, comportamento e orientação em matéria de sexualidade"
Especificados,Agressão por meio de outros produtos químicos e substâncias nocivas especificados
Objetos Quentes,"Agressão por meio de vapor de água, gases ou objetos quentes"
Outra Parte,Artropatias pós-infecciosas e reacionais em doenças infecciosas classificadas em outra parte
Não Especificados,Carcinoma in situ de outros órgãos genitais e dos não especificados
Alimentos,Efeito tóxico da aflatoxina e de outras micotoxinas contaminantes de alimentos
Outra Parte,Endocardite e transtornos valvulares cardíacos em doenças classificadas em outra parte
Trato Respiratório,Inalação e ingestão de outros objetos causando obstrução do trato respiratório
Quadril,"Luxação, entorse e distensão da articulação e dos ligamentos do quadril"
Cotovelo,"Luxação, entorse e distensão das articulações e dos ligamentos do cotovelo"
Joelho,"Luxação, entorse e distensão das articulações e dos ligamentos do joelho"
Tórax,"Luxação, entorse e distensão de articulações e dos ligamentos do tórax"
Cabeça,"Luxação, entorse ou distensão das articulações e dos ligamentos da cabeça"
Pescoço,"Luxação, entorse ou distensão das articulações e dos ligamentos do pescoço"
Outra Parte,Meningite em outras doenças infecciosas e parasitárias classificadas em outra parte
Especificados,Neoplasia maligna de outros órgãos genitais femininos e dos não especificados
Especificados,Neoplasia maligna de outros órgãos genitais masculinos e dos não especificados
Mãe,Obstrução do trabalho de parto devida a anormalidade pélvica da mãe
Recém-nascido,Outras afecções comprometendo o tegumento específicas do feto e do recém-nascido
Outra Parte,"Outras doenças de transmissão predominantemente sexual, não classificadas em outra parte"
Não Especificados,Outros dispositivos (aparelhos) associados a incidentes adversos e os não especificados
Consciência,Outros sintomas e sinais relativos à função cognitiva e à consciência
Abdome,Outros sintomas e sinais relativos ao aparelho digestivo e ao abdome
Percepções Gerais,Outros sintomas e sinais relativos às sensações e às percepções gerais
Veículo Ferroviário,Pedestre traumatizado em colisão com trem [comboio] ou um veículo ferroviário
Outra Parte,Transtornos inflamatórios da pelve feminina em doenças classificadas em outra parte
Outra Parte,"Transtornos inflamatórios de órgãos genitais masculinos, não classificados em outra parte"
Tecido Subcutâneo,"Tumefação, massa ou tumoração localizadas da pele e do tecido subcutâneo"
Ocupante,Acidente de uma aeronave sem motor causando traumatismo a ocupante
Banheira,Afogamento e submersão consecutiva a queda dentro de uma banheira
Piscina,Afogamento e submersão conseqüente a queda dentro de uma piscina
Águas Naturais,Afogamento e submersão conseqüentes a queda dentro de águas naturais
Outra Parte,Algumas complicações precoces dos traumatismos não classificadas em outra parte
Suspeita,Assistência prestada à mãe por uma desproporção conhecida ou suspeita
Vapores,"Auto-intoxicação intencional por solventes orgânicos, hidrocarbonetos halogenados e seus vapores"
Parado,Ciclista traumatizado em colisão com um objeto fixo ou parado
Quentes,"Contato com bebidas, alimentos, gordura e óleo de cozinha quentes"
Fruto do Mar,Efeito tóxico de substâncias nocivas consumidas como fruto do mar
Chamas,"Exposição a outro tipo especificado de fumaça, fogo ou chamas"
Puerpério,"Hipertensão pré-existente complicando a gravidez, o parto e o puerpério"
Trato Respiratório,Inalação e ingestão de alimentos causando obstrução do trato respiratório
Vapores,Intoxicação acidental por e exposição a outros gases e vapores
Chamas,"Lesão autoprovocada intencionalmente pela fumaça, pelo fogo e por chamas"
Parado,Motociclista traumatizado em colisão com um objeto fixo ou parado
Femininos,Neoplasia de comportamento incerto ou desconhecido dos órgãos genitais femininos
Masculinos,Neoplasia de comportamento incerto ou desconhecido dos órgãos genitais masculinos
Faringe,"Outras malformações congênitas da língua, da boca e da faringe"
Face,Outras malformações congênitas dos ossos do crânio e da face
Cirúrgicos,Outros acidentes durante a prestação de cuidados médicos e cirúrgicos
Ocupante,Acidente de aeronave a motor causando traumatismo ao ocupante
Traumatismo,Acidente com embarcação causando outro tipo de traumatismo
Cicatricial,"Alopécia cicatricial [perda de cabelos ou pêlos, cicatricial]"
Puerpério,Complicações da anestesia administrada durante o puerpério
Molar,Complicações conseqüentes a aborto e gravidez ectópica ou molar
Não Determinada,"Contato com objeto cortante ou penetrante, intenção não determinada"
Atingida,Corrosões classificadas segundo a extensão da superfície corporal atingida
Adversos,"Dispositivos (aparelhos) de anestesiologia, associados a incidentes adversos"
Adversos,"Dispositivos (aparelhos) cardiovasculares, associados a incidentes adversos"
Adversos,"Dispositivos (aparelhos) ortopédicos, associado a incidentes adversos"
Incidentes Adversos,"Dispositivos (aparelhos) utilizados em neurologia, associados a incidentes adversos"
Incidentes Adversos,"Dispositivos (aparelhos) utilizados em oftalmologia, associados a incidentes adversos"
Incidentes Adversos,"Dispositivos (aparelhos) utilizados em otorrinolaringologia, associados a incidentes adversos"
Incidentes Adversos,"Dispositivos (aparelhos) utilizados em radiologia, associados a incidentes adversos"
Intoxicação,Evidência de alcoolismo determinada pelo nível da intoxicação
Maligna,Exame de seguimento após tratamento por neoplasia maligna
Pressurizados,"Explosão ou ruptura de pneumático, tubulação ou mangueira, pressurizados"
Gravidez,Feto e recém-nascido afetados por complicações maternas da gravidez
Parto,Lesão do couro cabeludo devida a traumatismo de parto
Únicas,Necessidade de imunização contra outras doenças infecciosas únicas
Doenças Infecciosas,Necessidade de imunização associada contra combinações de doenças infecciosas
Crônica,Nefrite túbulo-intersticial não especificada se aguda ou crônica
Digestivos,Neoplasia maligna secundária dos órgãos respiratórios e digestivos
Subcutâneo,Outras infecções localizadas da pele e do tecido subcutâneo
Outra Parte,"Outras intoxicações alimentares bacterianas, não classificadas em outra parte"
Superior,Outras malformações congênitas do trato digestivo superior
Criança,Outros problemas relacionados com a educação da criança
Perinatal,Outros transtornos do aparelho digestivo do período perinatal
Colo do Útero,"Outros transtornos não-inflamatórios do útero, exceto do colo do útero"
Não Especificada,"Outros traumatismos de coluna e tronco, nível não especificado"
Neonatal,Outros distúrbios eletrolíticos e metabólicos transitórios do período neonatal
Fibras Minerais,Pneumoconiose devida a amianto [asbesto] e outras fibras minerais
Psicossociais,Problemas relacionados com algumas outras circunstâncias psicossociais
Linguagem,Transtornos específicos do desenvolvimento da fala e da linguagem
Álcool,Transtornos mentais e comportamentais devidos ao uso de álcool
Alucinógenos,Transtornos mentais e comportamentais devidos ao uso de alucinógenos
Canabinóides,Transtornos mentais e comportamentais devidos ao uso de canabinóides
Cocaína,Transtornos mentais e comportamentais devidos ao uso da cocaína
Opiáceos,Transtornos mentais e comportamentais devidos ao uso de opiáceos
Solventes Voláteis,Transtornos mentais e comportamentais devidos ao uso de solventes voláteis
Fumo,Transtornos mentais e comportamentais devidos ao uso de fumo
Alterada,Transtornos resultantes de função renal tubular alterada
Perna,Traumatismos de músculo e de tendão ao nível da perna
Viscosidade Plasmática,Velocidade de hemossedimentação elevada e outras anormalidades da viscosidade plasmática
Sem Hipertensão,"Edema e proteinúria gestacionais [induzidos pela gravidez], sem hipertensão"
SARS,Síndrome respiratória aguda grave [severe acute respiratory syndrome SARS]
Parto,Laceração intracraniana e hemorragia devidas a traumatismo de parto
primárias,Neoplasias malignas de localizações múltiplas independentes (primárias)
Não Especificado,"Outros traumatismos de membro inferior, nível não especificado"
Não Especificado,"Outros traumatismos de membro superior, nível não especificado"
Outra Parte,"Transtornos endócrinos e metabólicos pós-procedimentos, não classificados em outra parte"
Corpo,Amputações traumáticas envolvendo múltiplas regiões do corpo
Corpo,Traumatismos superficiais envolvendo múltiplas regiões do corpo
Isquêmico,"Acidente vascular cerebral, não especificado como hemorrágico ou isquêmico"
Queda,"Impacto causado por objeto lançado, projetado ou em queda"
Perinatal,Doença respiratória crônica originada no período perinatal
Perinatal,Outras afecções respiratórias originadas no período perinatal
Equipamento Esportivo,Impacto acidental ativo ou passivo causado por equipamento esportivo
Outros Objetos,Impacto acidental ativo ou passivo causado por outros objetos
Não Especificado,"Contato com animais ou plantas venenosos, sem especificação"
Sistêmicos,Efeitos adversos de outros antiinfecciosos e antiparasitários sistêmicos
Vapores,"Efeito tóxico de outros gases, fumaças e vapores"
Audição,Malformações congênitas do ouvido causando comprometimento da audição
Significativa,Hipertensão gestacional [induzida pela gravidez] com proteinúria significativa
Sufocação,"Lesão autoprovocada intencionalmente por enforcamento, estrangulamento e sufocação"
Penetrante,Lesão autoprovocada intencionalmente por objeto cortante ou penetrante
Neuro-sensorial,Perda de audição por transtorno de condução e/ou neuro-sensorial
Saúde,Procedimentos para outros propósitos exceto cuidados de saúde
Cerebrovasculares,Síndromes vasculares cerebrais que ocorrem em doenças cerebrovasculares
Renal,"Neoplasia maligna do rim, exceto pelve renal"
Sistêmicas,Intoxicação por outras substâncias antiinfecciosas ou antiparasitárias sistêmicas
Sistêmica,Efeitos adversos de substâncias de ação primariamente sistêmica
Não-medicinal,Seqüelas de efeitos tóxicos de substâncias de origem predominantemente não-medicinal
Outra Parte,Outras doenças bacterianas zoonóticas não classificadas em outra parte
Parto,"Doenças infecciosas e parasitárias maternas classificáveis em outra parte mas que compliquem a gravidez, o parto e o puerpério"
Mas Menos de 1 Ano,"Morte, por qualquer causa obstétrica, que ocorre mais de 42 dias, mas menos de 1 ano, após o parto"
Conselho Médico,"Pessoas em contato com os serviços de saúde para outros aconselhamentos e conselho médico, não classificados em outra parte"
Parto,"Outras doenças da mãe, classificadas em outra parte, mas que complicam a gravidez o parto e o puerpério"
Traumatizado,Pessoa montada em animal ou ocupante de um veículo a tração animal traumatizado em um acidente de transporte
Ação,Envenenamento [intoxicação] acidental por e exposição a outras substâncias farmacológicas de ação sobre o sistema nervoso autônomo
seus vapores,"Envenenamento [intoxicação] por e exposição a solventes orgânicos e hidrocarbonetos halogenados e seus vapores, intenção não determinada"
Arma de Fogo,Lesão autoprovocada intencionalmente por disparo de outra arma de fogo e de arma de fogo não especificada
Ação,"Auto-intoxicação por e exposição, intencional, a outras substâncias farmacológicas de ação sobre o sistema nervoso autônomo"
Punho,"Luxação, entorse e distensão das articulações e dos ligamentos ao nível do punho e da mão"
Tornozelo,"Luxação, entorse e distensão das articulações e dos ligamentos ao nível do tornozelo e do pé"
Fato,"Seqüelas de uma lesão autoprovocada intencionalmente, de agressão ou de um fato cuja intenção é indeterminada"
Dorso,"Traumatismo dos nervos e da medula lombar ao nível do abdome, do dorso e da pelve"
Outra,Agressão por meio de disparo de outra arma de fogo ou de arma não especificada
Hidrocarbonetos Halogenados,Envenenamento [intoxicação] acidental por e exposição a solventes orgânicos e hidrocarbonetos halogenados e seus vapores
Não Classificadas,"Intoxicação por substâncias de ação essencialmente sistêmica e substâncias hematológicas, não classificadas em outra parte"
Coluna Lombar,"Luxação, entorse ou distensão das articulações e dos ligamentos da coluna lombar e da pelve"
Lesão,"Transtornos de personalidade e do comportamento devidos a doença, a lesão e a disfunção cerebral"
Substâncias Nocivas,"Auto-intoxicação por e exposição, intencional, a outros produtos químicos e substâncias nocivas não especificadas"
Cordão Umbilical,"Feto e recém-nascido afetados por complicações da placenta, do cordão umbilical e das membranas"
Substâncias Biológicas,"Intoxicação por diuréticos e outras drogas, medicamentos e substâncias biológicas e as não especificadas"
Cirúrgicos,Objeto estranho deixado acidentalmente no corpo durante a prestação de cuidados cirúrgicos e médicos
Não Classificadas,"Síndromes com malformações congênitas devidas a causas exógenas conhecidas, não classificadas em outra parte"
Plástica,"Dispositivos (aparelhos) utilizados em cirurgia geral ou cirurgia plástica, associados a incidente adversos"
Vapores,"Envenenamento [intoxicação] por e exposição a outros gases e vapores, intenção não determinada"
Diante de,Lesão autoprovocada intencionalmente por precipitação ou permanência diante de um objeto em movimento
Traumatismo,Mergulho ou pulo na água causando outro traumatismo que não afogamento ou submersão
Disfunção Cerebral,Outros transtornos mentais devidos a lesão e disfunção cerebral e a doença física
Cuidados,Problemas relacionados com a dependência de uma pessoa que oferece cuidados de saúde
Esqui,"Queda envolvendo patins de rodas ou para gelo, esqui ou pranchas de rodas"
Não Classificados,"Transtornos do ouvido e da apófise mastóide pós-procedimentos, não classificados em outra parte"
Fumaças,"Afecções respiratórias devidas a inalação de produtos químicos, gases, fumaças e vapores"
Quentes,Contato com outras fontes de calor ou com substâncias quentes não especificados
Coluna,"Deformidades osteomusculares congênitas da cabeça, da face, da coluna e do tórax"
Massa de Pessoas,"Esmagado, empurrado ou pisoteado por multidão ou debandada em massa de pessoas"
Cintura,"Luxação, entorse e distensão das articulações e dos ligamentos da cintura escapular"
Não Especificadas,Neoplasia maligna de outras partes e de partes não especificadas da boca
Não Especificadas,Neoplasia maligna de outras partes e de partes não especificadas da língua
Não Classificadas,"Outros traumatismos envolvendo regiões múltiplas do corpo, não classificados em outra parte"
Não Classificados,Pneumonia devida a outros microorganismos infecciosos especificados não classificados em outra parte
Punho,"Queimadura e corrosão do ombro e membro superior, exceto punho e mão"
Feto,Reações e intoxicações devidas a drogas administradas ao feto e ao recém-nascido
Outras Substâncias,Síndrome amnésica orgânica não induzida pelo álcool ou por outras substâncias psicoativas
Não Classificados,"Transtornos mentais e comportamentais associados ao puerpério, não classificados em outra parte"
Sexual,Transtornos psicológicos e comportamentais associados ao desenvolvimento sexual e à sua orientação
Período,Transtornos transitórios do metabolismo do cálcio e do magnésio do período neonatal
Feto,Transtornos transitórios do metabolismo dos carboidratos específicos do feto e do recém-nascido
Radiação,Alterações da pele devidas à exposição crônica à radiação não ionizante
Conhecidos,Assistência prestada à mãe por outros problemas fetais conhecidos ou suspeitados
Anti-reumáticos,"Auto-intoxicação por e exposição, intencional, a analgésicos, antipiréticos e anti-reumáticos, não-opiáceos"
Equipados,Contato com outros utensílios manuais e aparelhos domésticos equipados com motor
Associado,"Dispositivos (aparelhos) utilizados em medicina física (fisiatria), associado a incidentes adversos"
Médicos,Erros de dosagem durante a prestação de cuidados médicos e cirúrgicos
Gases,"Lesão autoprovocada intencionalmente por vapor de água, gases ou objetos quentes"
Sedativos,Transtornos mentais e comportamentais devidos ao uso de sedativos e hipnóticos
Infecciosas,"Exame especial de rastreamento (""screening"") de doenças infecciosas e parasitárias"
Entre,"Apertado, colhido, comprimido ou esmagado dentro de ou entre objetos"
Cirúrgicos,Assepsia insuficiente durante a prestação de cuidados cirúrgicos e médicos
Infligidos,"Golpe, pancada, pontapé, mordedura ou escoriação infligidos por outra pessoa"
Circulatório,Outros sintomas e sinais relativos aos aparelhos circulatório e respiratório
Nervoso,Outros sintomas e sinais relativos aos sistemas nervoso e osteomuscular
Enxertos,"Complicações de outros dispositivos protéticos, implantes e enxertos internos"
Dos,Deformidades adquiridas dos dedos das mãos e dos pés
Período,Enfisema intersticial e afecções correlatas originadas no período perinatal
Doença,Necessidade de imunização contra uma única doença bacteriana
Anal,"Neoplasia benigna do cólon, reto, canal anal e ânus"
Radiação,Outras alterações agudas da pele devidas a radiação ultravioleta
Corporal,Queimaduras classificadas segundo a extensão da superfície corporal atingida
Deficiência,"Transtornos tireoidianos e afecções associadas, relacionados à deficiência de iodo"
Nível,Traumatismo de nervos e da medula espinhal ao nível cervical
Acometem,Outras síndromes com malformações congênitas que acometem múltiplos sistemas
Gripe,Influenza devida a outro vírus da influenza [gripe] identificado
Proteinúria,Hipertensão gestacional [induzida pela gravidez] sem proteinúria significativa
Via,Outras infecções causadas por clamídias transmitidas por via sexual
Geniturinários,"Complicações de dispositivos protéticos, implantes e enxertos geniturinários internos"
Ortopédicos,"Complicações de dispositivos protéticos, implantes e enxertos ortopédicos internos"
Apoiado,"Queda, enquanto estava sendo carregado ou apoiado por outra(s) pessoa(s)"
Sais,"Efeitos adversos de substâncias que atuam primariamente sobre o metabolismo da água, dos sais minerais e do ácido úrico"
alucinógenos,"Envenenamento [intoxicação] por e exposição a narcóticos e a psicodislépticos [alucinógenos] não classificados em outra parte, intenção não determinada"
Medicamentos,"Envenenamento [intoxicação] por e exposição a outras drogas, medicamentos e substâncias biológicas e as não especificadas, intenção não determinada"
Substâncias Nocivas,"Envenenamento [intoxicação] por e exposição a outros produtos químicos e substâncias nocivas e aos não especificados, intenção não determinada"
Medicamentos,"Auto-intoxicação por e exposição, intencional, a outras drogas, medicamentos e substâncias biológicas e às não especificadas"
Psicodislépticos,Envenenamento [intoxicação] acidental por e exposição a narcóticos e psicodislépticos [alucinógenos] não classificados em outra parte
